Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: AI safety publications,Publications: Large language model publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
Stanley Black & Decker,2495,United States,https://www.stanleyblackanddecker.com/,S&P 500,,North America,Mature,Industrial Goods,Stanley Black & Decker is a tool and industrial equipment manufacturing company.,crunchbase,https://www.crunchbase.com/organization/stanley-black-decker,2024-05-16,6,0.0,14.0,0,532,2,0,1,0,0,43,9,16.666666666666664,0.4,4,2068,3,0,0,0,0,0,0,0,4,1,0,0,0,1,2,0,0,1,5,0,3,7,0,1,0,4,0,0,0,101,550,New Britain,Connecticut,https://parat.eto.tech/company/2495-stanley-black-decker
AutoZone,2225,United States,http://www.autozone.com/,S&P 500,,North America,Mature,Retailers,"AutoZone is a distributor of auto parts, spares and car accessories in Southern Africa.",crunchbase,https://www.crunchbase.com/organization/autozone,2024-05-16,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,550,Memphis,Tennessee,https://parat.eto.tech/company/2225-autozone
Biogen,1536,United States,https://www.biogen.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"Biogen is an American biotechnology company that provides therapeutics for neurological, autoimmune, and rare diseases.",crunchbase,https://www.crunchbase.com/organization/biogen-idec,2024-05-16,36,133.33333333333334,0.9,0,1283,4,0,2,0,2,3842,6,,2.1,0,282,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,143,535,Cambridge,Massachusetts,https://parat.eto.tech/company/1536-biogen
DuPont,1780,United States,https://www.dupont.com/,S&P 500,,North America,Mature,Food & Beverages,"DuPont offers construction materials, fabrics, packaging materials, and solutions.",crunchbase,https:// https://www.crunchbase.com/organization/dupont,2024-05-16,5,-50.0,0.3,0,19,0,0,0,0,0,1594,2,,0.1,1,2002,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,532,Wilmington,Delaware,https://parat.eto.tech/company/1780-dupont
Panasonic,1129,Japan,https://www.panasonic.com,,,Asia,Mature,Technology Equipment,Panasonic manufactures and sells various electronic and electric products around the world.,crunchbase,https://www.crunchbase.com/organization/panasonic,2024-05-16,353,8.903914445902908,14.1,29,8427,131,9,137,7,10,2508,791,1.3956610840223316,1.5,398,53419,6,27,105,2,0,10,48,1,73,64,0,0,5,226,14,21,6,133,112,53,236,161,1,15,16,105,81,3,45,42,531,Kadoma,Osaka,https://parat.eto.tech/company/1129-panasonic
Enphase Energy,3161,United States,https://enphase.com/,S&P 500,,North America,Mature,Renewable Energy,"Enphase Energy, Inc. is an American energy technology company headquartered in Fremont, California, that develops and manufactures solar micro-inverters, battery energy storage, and EV charging stations primarily for residential customers. Enphase was established in 2006 and is the first company to successfully commercialize the solar micro-inverter, which converts the direct current (DC) power generated by a solar panel into grid-compatible alternating current (AC) for use or export. The company has shipped more than 48 million microinverters to 2.5 million solar systems in more than 140 countries.",wikipedia,https://en.wikipedia.org/wiki/Enphase_Energy,2023-11-10,3,,7.5,0,6,0,0,0,0,0,40,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,531,Fremont,California,https://parat.eto.tech/company/3161-enphase-energy
Carrier Global,2247,United States,https://www.carrier.com/,S&P 500,,North America,Mature,Industrial Goods,"Carrier is a provider of innovative heating, ventilating and air conditioning (HVAC), refrigeration, and fire & security technologies.",crunchbase,https://www.crunchbase.com/organization/carrier-corporation,2024-05-16,4,,4.5,0,58,1,0,0,0,0,88,56,69.12393162393163,1.5,23,3692,3,8,11,0,0,1,12,0,7,3,0,0,1,25,4,24,0,16,4,5,5,18,0,4,2,13,10,0,1,35,530,Palm Beach Garden,Florida,https://parat.eto.tech/company/2247-carrier-global
Nio,596,China,http://www.nio.io/,,,Asia,Mature,Unknown,NIO is an automotive company that designs and develops electric autonomous vehicles.,crunchbase,https://www.crunchbase.com/organization/nextev,2024-05-16,2,,50.0,0,15,0,0,1,0,0,4,13,50.0,1.4,5,955,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,2,0,0,1,0,3,4,0,0,0,3,0,0,3,59,526,Shanghai,Shanghai,https://parat.eto.tech/company/596-nio
Mettler Toledo,2413,United States,https://www.mt.com/,S&P 500,,North America,Mature,Technology Equipment,"Mettler Toledo is a manufacturer of industrial equipment like scales, X-ray machines, instruments and laboratory items.",crunchbase,https://www.crunchbase.com/organization/mettler-toledo,2024-05-16,3,,2.2,0,41,2,0,0,0,0,136,12,-100.0,1.3,0,891,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,2,0,2,0,7,1,0,0,44,518,Columbus,Ohio,https://parat.eto.tech/company/2413-mettler-toledo
Xylem,2549,United States,https://www.xylem.com/,S&P 500,,North America,Mature,Industrial Goods,"Xylem is a large global water technology provider, enabling customers to transport, treat, test, and efficiently use water.",crunchbase,https://www.crunchbase.com/organization/xylem-inc,2024-05-16,17,2.5,9.1,0,147,5,0,3,0,0,186,5,-50.0,0.6,3,830,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,0,0,1,1,0,0,56,509,White Plains,New York,https://parat.eto.tech/company/2549-xylem
Qihoo 360,208,China,https://www.360totalsecurity.com,,,Asia,Mature,Software & IT Services,"Qihoo 360 Technology offers internet and mobile security products, online advertising and internet value-added services in China.",crunchbase,https://www.crunchbase.com/organization/qihoo-360-technology,2024-05-16,84,-4.4444444444444455,51.5,14,5749,40,13,1,2,11,163,259,-58.93876848985209,3.5,82,7349,0,6,15,0,0,0,0,1,5,0,0,0,0,143,2,31,0,44,9,3,36,4,0,6,0,4,5,0,11,47,509,Beijing,Beijing ,https://parat.eto.tech/company/208-qihoo-360
Crown Castle International,2275,United States,http://www.crowncastle.com/,S&P 500,,North America,Mature,Real Estate,"Crown Castle Provides communications infrastructure--connecting people & businesses to essential data, technology & wireless service.",crunchbase,https://www.crunchbase.com/organization/crown-castle,2024-05-16,0,,0.0,0,0,0,0,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,509,Houston,Texas,https://parat.eto.tech/company/2275-crown-castle-international
International Paper,2369,United States,https://www.internationalpaper.com/,S&P 500,,North America,Mature,Applied Resources,International Paper manufactures paper and paper-packaging products.,crunchbase,https://www.crunchbase.com/organization/international-paper,2024-05-16,0,,0.0,0,0,0,0,0,0,0,66,0,,0.0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,509,Memphis,Tennessee,https://parat.eto.tech/company/2369-international-paper
Regeneron Pharmaceuticals,1577,United States,http://www.regeneron.com/,S&P 500,,North America,Mature,Pharmaceuticals & Medical Research,"Regeneron Pharmaceuticals specializes in the discovery, development, and commercialization of innovative medicines.",crunchbase,https://www.crunchbase.com/organization/regeneron-pharmaceuticals,2024-05-16,31,301.6666666666667,0.7,1,411,9,3,0,0,3,4205,19,0.0,1.4,2,1336,0,0,0,0,0,0,0,0,0,14,0,0,0,3,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0,156,508,Tarrytown,New York,https://parat.eto.tech/company/1577-regeneron-pharmaceuticals
MGM Resorts International,2414,United States,https://www.mgmresorts.com/,S&P 500,,North America,Mature,Cyclical Consumer Services,"MGM Resorts International is a hospitality firm that operates casinos, restaurants, and recreational resorts.",crunchbase,https://www.crunchbase.com/organization/mgm-resorts-international,2024-05-16,0,,0.0,0,0,0,0,0,0,0,15,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,507,Las Vegas,Nevada,https://parat.eto.tech/company/2414-mgm-resorts-international
Waters Corporation,2536,United States,https://www.waters.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Waters Corporation creates business advantages for laboratory-dependent organizations by delivering ultra performance liquid chromatography.,crunchbase,https://www.crunchbase.com/organization/waters-corporation,2024-05-16,6,-100.0,0.4,0,46,2,0,1,0,0,1337,11,50.0,1.4,5,759,0,0,0,0,0,0,0,0,1,5,0,0,0,1,6,0,0,0,0,1,3,0,0,0,0,9,0,0,0,16,507,Milford,Massachusetts,https://parat.eto.tech/company/2536-waters-corporation
Parker-Hannifin,2450,United States,http://www.parker.com/,S&P 500,,North America,Mature,Industrial Goods,Parker Hannifin is a diversified manufacturer of motion.,crunchbase,https://www.crunchbase.com/organization/parker-hannifin,2024-05-16,12,-75.0,9.1,0,269,1,0,8,1,0,132,2,-100.0,0.3,1,795,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,29,506,Cleveland,Ohio,https://parat.eto.tech/company/2450-parker-hannifin
Consolidated Edison,2269,United States,https://www.conedison.com/,S&P 500,,North America,Mature,Utilities,ConEdison is a leading energy services company.,crunchbase,https://www.crunchbase.com/organization/conedison-solutions,2024-05-16,4,,7.4,0,311,0,0,0,0,0,54,0,,0.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,492,New York,New York,https://parat.eto.tech/company/2269-consolidated-edison
Supermicro,6981,United States,https://www.supermicro.com/en/,S&P 500,,North America,Mature,Unknown,"Super Micro Computer, Inc., dba Supermicro, is an American information technology company based in San Jose, California. It has manufacturing operations in the Silicon Valley, the Netherlands and at its Science and Technology Park in Taiwan. Founded on November 1, 1993, Supermicro is one of the largest producers of high-performance and high-efficiency servers. It also provides server management software, and storage systems for various markets, including enterprise data centers, cloud computing, artificial intelligence, 5G and edge computing.",wikipedia,https://en.wikipedia.org/wiki/Supermicro,2024-06-04,4,25.0,36.4,0,129,2,0,0,0,0,11,4,-100.0,14.8,1,27,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,489,San Jose,California,https://parat.eto.tech/company/6981-supermicro
Otis Worldwide,2447,United States,https://www.otis.com/,S&P 500,,North America,Mature,Industrial Goods,"OTIS is a manufacturer and service provider of elevators, escalators, and moving walkways.",crunchbase,https://www.crunchbase.com/organization/otis,2024-05-16,0,,0,0,0,0,0,0,0,0,0,16,104.16666666666667,1.2,10,1370,0,0,1,0,0,1,0,0,16,0,0,0,0,7,2,1,0,3,1,1,2,4,0,1,0,3,1,0,0,28,487,Farmington,Connecticut,https://parat.eto.tech/company/2447-otis-worldwide
Qorvo,2468,United States,https://www.qorvo.com/,S&P 500,,North America,Mature,Technology Equipment,Qorvo (''kor-vo'') enables customers to launch next-generation designs even faster.,crunchbase,https://www.crunchbase.com/organization/qorvo,2024-05-16,3,-100.0,0.7,0,24,0,0,0,0,0,448,2,,0.1,0,1347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,484,Greensboro,North Carolina,https://parat.eto.tech/company/2468-qorvo
Zions Bancorp,2553,United States,https://www.zionsbank.com/,,,North America,Mature,Banking & Investment Services,"Zions Bancorporation is a financial services company involved in SBA lending, public finance advisory services, and agricultural finance.",crunchbase,https://www.crunchbase.com/organization/zions-bancorporation,2024-05-16,0,,0.0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,482,Salt Lake City,Utah,https://parat.eto.tech/company/2553-zions-bancorp
NRG Energy,2440,United States,http://www.nrg.com/,S&P 500,,North America,Mature,Utilities,"NRG Energy is an integrated power generation and supply firm that offers offsite solar, wind power, and smart grid retail services.",crunchbase,https://www.crunchbase.com/organization/nrg-energy,2024-05-16,2,0.0,2.5,0,22,0,0,0,0,0,79,6,-100.0,4.7,5,129,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,5,0,4,0,0,0,3,0,0,0,0,2,0,0,98,481,Houston,Texas,https://parat.eto.tech/company/2440-nrg-energy
Centerpoint Energy,2252,United States,https://www.centerpointenergy.com/,S&P 500,,North America,Mature,Utilities,"CenterPoint Energy is an energy delivery company with electric transmission and distribution, power generation and natural gas distribution.",crunchbase,https://www.crunchbase.com/organization/centerpoint-energy,2024-05-16,1,,4.8,0,73,0,1,0,0,0,21,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,481,Houston,Texas,https://parat.eto.tech/company/2252-centerpoint-energy
Union Pacific,2519,United States,http://www.up.com/,S&P 500,,North America,Mature,Transportation,"Union Pacific Railroad is the principal operating company of Union Pacific Corporation both are headquartered in Omaha, Nebraska",crunchbase,https://www.crunchbase.com/organization/union-pacific-corporation,2024-05-16,0,,0.0,0,0,0,0,0,0,0,18,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,479,Omaha,Nebraska,https://parat.eto.tech/company/2519-union-pacific
Archer Daniels Midland,1894,United States,https://www.adm.com/,S&P 500,,North America,Mature,Food & Beverages,"Archer Daniels Midland Company offers food ingredients, animal feeds and feed ingredients, biofuels, and other products.",crunchbase,https:// https://www.crunchbase.com/organization/archer-daniels-midland-company,2024-05-16,5,-50.0,2.1,0,31,3,0,2,0,0,234,0,,0.0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,477,Chicago,Illinois,https://parat.eto.tech/company/1894-archer-daniels-midland
Idexx Laboratories,2363,United States,https://www.idexx.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,"IDEXX Laboratories, Inc. is a leader in pet healthcare innovation, serving practicing veterinarians around the world with a broad range of",crunchbase,https://www.crunchbase.com/organization/idexx-laboratories,2024-05-16,11,75.0,1.1,0,140,10,0,0,0,0,1023,17,,11.0,2,154,0,0,1,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,1,7,0,0,0,0,4,1,0,0,75,468,Westbrook,Maine,https://parat.eto.tech/company/2363-idexx-laboratories
Norfolk Southern,2436,United States,http://www.nscorp.com/,S&P 500,,North America,Mature,Transportation,Norfolk Southern Corporation is one of the nation's premier transportation companies.,crunchbase,https://www.crunchbase.com/organization/norfolk-southern-corporation,2024-05-16,3,0.0,8.8,0,32,0,0,0,2,0,34,2,,14.3,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,59,468,Atlanta,Georgia,https://parat.eto.tech/company/2436-norfolk-southern
Copart,2272,United States,https://www.copart.com/,S&P 500,,North America,Mature,Software & IT Services,Copart is a Vehicle auctioning company traded on NASDAQ with ticket CPRT. It owns it's own yards and maintenance personel.,crunchbase,https://www.crunchbase.com/organization/copart,2024-05-16,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,464,Dallas,Texas,https://parat.eto.tech/company/2272-copart
V.F. Corporation,2524,United States,https://www.vfc.com/,,,North America,Mature,Cyclical Consumer Products,VF offers outdoor and activity-based lifestyle and work-wear brands.,crunchbase,https://www.crunchbase.com/organization/vf-corporation,2024-05-16,0,,0.0,0,0,0,0,0,0,0,2,1,,0.5,0,183,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,463,Denver,Colorado,https://parat.eto.tech/company/2524-v-f-corporation
Verisign,2527,United States,http://www.verisigninc.com/,S&P 500,,North America,Mature,Software & IT Services,Verisign operates as a global provider of domain name registry services and internet infrastructure.,crunchbase,https://www.crunchbase.com/organization/verisign-2,2024-05-16,1,,4.3,1,220,0,0,0,0,0,23,10,-25.0,7.5,9,134,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,9,0,0,0,0,0,0,1,0,0,0,1,10,459,Reston,Virignia,https://parat.eto.tech/company/2527-verisign
Sysco,1908,United States,http://sysco.com/,S&P 500,,North America,Mature,Food & Drug Retailing,"Sysco sells, markets, and distributes food products to restaurants, hotels, and other hospitality businesses.",crunchbase,https://www.crunchbase.com/organization/sysco,2024-05-16,0,,0.0,0,0,0,0,0,0,0,4,0,,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,453,Houston,Texas,https://parat.eto.tech/company/1908-sysco
PVH,2467,United States,https://www.pvh.com/,,,North America,Mature,Cyclical Consumer Products,"A company transformed, focused on global growth and brand building, while staying true to our core values.",crunchbase,https://www.crunchbase.com/organization/pvh,2024-05-16,0,,0.0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,446,New York,New York,https://parat.eto.tech/company/2467-pvh
Avery Dennison,2227,United States,http://www.averydennison.com/,S&P 500,,North America,Mature,Applied Resources,Avery Dennison is a company focusing on labeling and packaging materials and solutions.,crunchbase,https://www.crunchbase.com/organization/avery-dennison,2024-05-16,1,,3.0,0,3,0,1,0,0,1,33,1,-100.0,0.2,1,620,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,53,446,Mentor,Ohio,https://parat.eto.tech/company/2227-avery-dennison
Anduril Industries,24,United States,http://www.anduril.com,,,North America,Mature,Industrial Goods,Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,crunchbase,https://www.crunchbase.com/organization/anduril-industries,2024-05-16,2,-100.0,16.7,0,169,0,0,0,0,0,12,14,,17.9,6,78,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10,0,1,1,1,0,1,0,8,1,0,0,23,444,Irvine,California,https://parat.eto.tech/company/24-anduril-industries
Aflac,2195,United States,https://www.aflac.com/,S&P 500,,North America,Mature,Insurance,Aflac is a company that offers individuals and companies supplemental disability insurance.,crunchbase,https://www.crunchbase.com/organization/aflac,2024-05-16,0,,0.0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,441,Columbus,Georgia,https://parat.eto.tech/company/2195-aflac
Fox Corporation,2330,United States,https://www.foxcorporation.com/,S&P 500,,North America,Mature,Cyclical Consumer Services,Fox Corporation is an American television broadcasting company.,crunchbase,https://www.crunchbase.com/organization/fox-corporation,2024-05-16,2,,3.6,1,0,0,0,0,0,1,55,7,,43.8,3,16,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,51,441,New York,New York,https://parat.eto.tech/company/2330-fox-corporation
Occidental Petroleum,2443,United States,http://www.oxy.com/,S&P 500,,North America,Mature,Energy - Fossil Fuels,Occidental Petroleum is an international oil and gas exploration and production company.,crunchbase,https://www.crunchbase.com/organization/occidental-petroleum-corporation,2024-05-16,7,-100.0,2.5,0,31,1,0,0,0,0,279,0,,0.0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,440,Houston,Texas,https://parat.eto.tech/company/2443-occidental-petroleum
Entergy,2303,United States,http://www.entergy.com/,S&P 500,,North America,Mature,Utilities,Entergy Corporation is an integrated energy company,crunchbase,https://www.crunchbase.com/organization/entergy-corporation,2024-05-16,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,438,New Orleans,Louisiana,https://parat.eto.tech/company/2303-entergy
Sensetime,223,China,http://www.sensetime.com/,GenAI Contenders,,Asia,Mature,Software & IT Services,SenseTime is an AI software company focused on creating a better AI-empowered future through innovation.,crunchbase,https://www.crunchbase.com/organization/sensetime,2024-05-16,1377,0.02980262140624153,88.6,641,133690,1179,35,50,45,240,1554,1602,41.77405946381933,36.2,923,4431,1,37,18,7,0,2,4,25,19,23,0,0,1,861,5,24,0,65,79,14,702,26,0,9,2,25,10,0,18,97,435,Beijing,Beijing ,https://parat.eto.tech/company/223-sensetime
Hikvision,106,China,https://www.hikvision.com/,,,Asia,Mature,Technology Equipment,Hikvision is a global manufacturer and supplier of video surveillance products and solutions.,crunchbase,https://www.crunchbase.com/organization/hikvision-digital-technology,2024-05-16,365,16.73639455782313,62.7,90,17064,262,15,17,11,43,582,994,58.41644070215499,9.8,593,10119,2,7,32,9,0,0,5,0,35,4,0,0,8,420,1,52,0,122,62,24,225,22,0,18,2,28,19,0,21,42,435,Hangzhou,Zhejiang,https://parat.eto.tech/company/106-hikvision
Insulet,6965,United States,https://www.insulet.com/,S&P 500,,North America,Mature,Unknown,Insulet (NASDAQ: PODD) is an innovative medical device company improving the lives of people with diabetes and other conditions through its Omnipod delivery system.,company,https://www.insulet.com/about-insulet,2024-06-04,0,,0.0,0,0,0,0,0,0,0,59,8,200.0,2.8,2,282,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,17,434,Acton,Massachusetts,https://parat.eto.tech/company/6965-insulet
Dayforce,6952,United States,https://www.dayforce.com/,S&P 500,,North America,Mature,Unknown,"Dayforce, Inc., formerly Ceridian, is a provider of human resources software and services with employees across its global footprint in the United States, Canada, Europe, Middle East, Africa (EMEA), and the Asia Pacific Japan (APJ) region. It is a publicly traded company on the New York Stock Exchange and Toronto Stock Exchange.",wikipedia,https://en.wikipedia.org/wiki/Dayforce,2024-06-04,2,-100.0,33.3,0,102,0,1,1,0,0,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,434,Minneapolis,Minnesota,https://parat.eto.tech/company/6952-dayforce
Advance Auto Parts,2193,United States,https://shop.advanceautoparts.com/,,,North America,Mature,Retailers,"Advance Auto Parts is the largest automotive aftermarket parts provider in North America, serves both the professional installer.",crunchbase,https://www.crunchbase.com/organization/advance-auto-parts,2024-05-16,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,432,Raleigh,North Carolina,https://parat.eto.tech/company/2193-advance-auto-parts
Illinois Tool Works,2365,United States,http://www.itw.com/,S&P 500,,North America,Mature,Consumer Goods Conglomerates,"ITW specializes in the fields of industrial machinery, engineering, operations, sales, marketing, finance, and accounting.",crunchbase,https://www.crunchbase.com/organization/illinois-tool-works,2024-05-16,1,-100.0,4.2,0,9,0,0,1,0,0,24,22,125.0,0.5,11,4756,0,0,2,0,0,0,1,0,19,0,0,0,0,2,0,0,2,1,0,0,12,7,0,1,0,3,2,0,0,4,432,Glenview Nas,Illinois,https://parat.eto.tech/company/2365-illinois-tool-works
Alaska Air Group,2197,United States,http://investor.alaskaair.com/,,,North America,Mature,Transportation,Alaska Airlines is the eighth-largest U.S. airline based on passenger traffic and is the dominant U.S. West Coast air carrier.,crunchbase,https://www.crunchbase.com/organization/alaska-air-group,2024-05-16,0,,0.0,0,0,0,0,0,0,0,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,429,Seatac,Washington,https://parat.eto.tech/company/2197-alaska-air-group
Zimmer Biomet,2552,United States,http://www.zimmerbiomet.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Zimmer Biomet is a medical device manufacturing company.,crunchbase,https://www.crunchbase.com/organization/zimmer-holdings,2024-05-16,12,66.66666666666667,3.6,0,126,0,0,9,1,0,333,17,16.66666666666667,2.6,6,666,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,42,428,Warsaw,Indiana,https://parat.eto.tech/company/2552-zimmer-biomet
RTX,815,United States,https://www.rtx.com/,S&P 500,,North America,Mature,Industrial Goods,Raytheon Technologies is an aerospace and defense company that provides advanced systems and services.,crunchbase,https://www.crunchbase.com/organization/raytheon,2024-05-16,95,-24.821428571428573,7.8,2,1447,16,9,16,3,6,1217,367,12.748538011695905,2.4,171,15582,0,15,33,5,0,11,17,2,21,22,3,1,0,156,44,30,2,77,101,40,74,99,2,23,3,82,32,0,9,30,422,Waltham,Massachusetts,https://parat.eto.tech/company/815-rtx
O'Reilly Automotive,2442,United States,https://www.oreillyauto.com/,S&P 500,,North America,Mature,Retailers,"O’Reilly Automotive, Inc. is a specialty retailer of automotive aftermarket parts, tools, supplies, equipment and accessories.",crunchbase,https://www.crunchbase.com/organization/o-reilly-auto-parts,2024-05-16,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,422,Springfield,Missouri,https://parat.eto.tech/company/2442-oreilly-automotive
Kellogg,2381,United States,https://www.kelloggcompany.com/,,,North America,Mature,Food & Beverages,"Kellogg's is a cereal company, and a major producer of convenience foods.",crunchbase,https://www.crunchbase.com/organization/kellogg,2024-05-16,2,-50.0,1.4,0,32,0,0,0,0,0,142,1,-100.0,2.0,1,51,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,77,420,Battle Creek,Michigan,https://parat.eto.tech/company/2381-kellogg
Edwards Lifesciences,2301,United States,https://www.edwards.com,S&P 500,,North America,Mature,Healthcare Services & Equipment,Edwards Lifesciences is the global leader in the science of heart valves and hemodynamic monitoring.,crunchbase,https://www.crunchbase.com/organization/edwards-lifesciences,2024-05-16,20,58.333333333333336,3.2,0,768,1,1,3,0,0,620,19,-75.0,1.4,3,1364,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,15,2,0,0,0,0,1,0,0,0,103,416,Irvine,California,https://parat.eto.tech/company/2301-edwards-lifesciences
